NOM_MUN|COD_MUN|MAP_1990|MUSE_1990|MAP_1991|MUSE_1991|MAP_1992|MUSE_1992|MAP_1993|MUSE_1993|MAP_1994|MUSE_1994|MAP_1995|MUSE_1995|MAP_1996|MUSE_1996|MAP_1997|MUSE_1997|MAP_1998|MUSE_1998|MAP_1999|MUSE_1999|MAP_2000|MUSE_2000|MAP_2001|MUSE_2001|MAP_2002|MUSE_2002|MAP_2003|MUSE_2003|MAP_2004|MUSE_2004|MAP_2005|MUSE_2005|MAP_2006|MUSE_2006|MAP_2007|MUSE_2007
ABEJORRAL|05002|||||||||||||||||||||||||||||||3||1|||
ABREGO|54003|||||||||1||||||||||||||1||4||||||||1|||
ABRIAQUÍ|05004|||||||||||||||||||||||||||||1||2|||||
ACACÍAS|50006|||||||||||||||||||||3||3||3||4||1|||||||
ACANDÍ|27006||||||||||||||||||||||||||||||||||||
ACEVEDO|41006|||||||||||1||||||||||||||||2|||||||||
ACHÍ|13006|||1||4||||2|||||2|||||||||||||2|||||||||
AGRADO|41013||||||||||||||||||||||||||||||||||||
AGUA DE DIOS|25001||||||||||||||||||||||||||||||||||||
AGUACHICA|20011|||||||||2||||1|1|||||||2||||||||1|||||||
AGUADA|68013||||||||||||||||||||||||||||||||||||
AGUADAS|17013|||||||||1||||||||||||||||||||10||||1|||
AGUAZUL|85010|||||2||||||||||||||||||||1||1||||||||1|
AGUSTÍN CODAZZI|20013|||||||||||||||||||||||9||3|||||||||||
AIPE|41016||||||||||||||||||||||||||||||||||||
ALBÁN|25019|||||||||||||||||||||||1||5|||||||||||
ALBÁN|52019||||||||||||||||||||||||||||||||||||
ALBANIA|18029||||||||||||||||||||||||||||||||||||
ALBANIA|44035||||||||||||||||||||||||||||||||||||
ALBANIA|68020||||||||||||||||||||||||||||||||||||
ALCALÁ|76020||||||||||||||||||||||||||||||||||||
ALDANA|52022||||||||||||||||||||||||||||||||||||
ALEJANDRÍA|05021|||||||||||||||||||||1||||3||||5|||||||
ALGARROBO|47030||||||||||||||||||||||||||||||||||||
ALGECIRAS|41020|||4||4||||||||||||||||||||||||||12||17||2|
ALMAGUER|19022|||||||||||||||||||||||1|||||||||||||
ALMEIDA|15022||||||||||||||||||||||||||||||||||||
ALPUJARRA|73024||||||||||||||||||||||||||||||||||||
ALTAMIRA|41026||||||||||||||||||||||||||||||||||||
ALTO BAUDO|27025||||||||||||||||||||||||||||||||||||
ALTOS DEL ROSARIO|13030||||||||||||||||||||||||||||||||||||
ALVARADO|73026||||||||||||||||||||||||||2|||2|||||||
AMAGÁ|05030||||||||||||||||||||||||||||||||||||
AMALFI|05031|||||||||||||||||||||1||||1||||||||2|||
AMBALEMA|73030||||||||||||||||||||||||||||||||||||
ANAPOIMA|25035||||||||||||||||||||||||||||||||||||
ANCUYÁ|52036||||||||||||||||||||||||||||||||||||
ANDALUCÍA|76036||||||||||||||||||||||||||||||||||||
ANDES|05034||||||||||||||||||||||||||||||||||||
ANGELÓPOLIS|05036||||||||||||||||||||||||||||||||||||
